uid,clust_name,clust_no,sample_type,correct,beds_in_20_m,dist_nearest_pt,confidence,collar_id,date,time
1,ERE15_2019_05_27_3,1,hair,1,0,2,high,20428,05-26-2019,15:00
2,ERE15_2019_05_27_3,1,hair,1,0,1,high,20428,05-26-2019,15:30
3,ERE15_2019_05_27_3,1,hair,1,0,7.1,high,20428,05-26-2019,16:30
4,ERE15_2019_06_24_2,2,pellets,1,1,8.5,high,20428,06-23-2019,17:30
5,ERE15_2019_06_24_2,2,pellets,1,1,11.8,high,20428,06-23-2019,17:00
6,ERE15_2019_06_24_2,2,pellets,1,1,12.3,high,20428,06-23-2019,16:30
7,ERE15_2019_05_31_2,3,pellets,1,1,14.8,very_high,20428,05-31-2019,11:00
8,ERE15_2019_05_31_2,3,pellets,1,1,15.2,very_high,20428,05-31-2019,12:30
9,ERE15_2019_05_31_2,3,pellets,1,1,18.2,very_high,20428,05-31-2019,11:30
10,ERE15_2019_06_09_4,4,pellets,1,1,4,very_high,20428,06-08-2019,12:30
11,ERE15_2019_06_09_4,4,pellets,1,1,5,very_high,20428,06-08-2019,21:00
12,ERE15_2019_06_09_4,4,pellets,1,1,15,very_high,20428,06-08-2019,13:00
13,ERE15_2019_05_29_2,5,pellets,1,0,4,very_high,20428,05-28-2019,22:00
14,ERE15_2019_05_29_2,5,pellets,1,0,13,very_high,20428,05-28-2019,22:30
15,ERE15_2019_05_29_2,5,pellets,1,0,23,very_high,20428,05-28-2019,23:30
16,ERE15_2019_05_29_2,5,hair,1,0,4,very_high,20428,05-28-2019,22:00
17,ERE15_2019_05_29_2,5,hair,1,0,13,very_high,20428,05-28-2019,22:30
18,ERE15_2019_05_29_2,5,hair,1,0,23,very_high,20428,05-28-2019,23:30
19,ERE_23_2019_06_06_2,6,hair,1,0,6,high,20436,06-05-2019,19:00
20,ERE_23_2019_06_06_2,6,hair,1,0,8,high,20436,06-05-2019,10:30
21,ERE_23_2019_06_06_2,6,hair,1,0,10,high,20436,06-05-2019,16:30
22,ERE_23_2019_06_06_1,7,hair,1,0,5,very_high,20436,06-05-2019,8:00
23,ERE_23_2019_06_06_1,7,hair,1,0,6,very_high,20436,06-05-2019,9:00
24,ERE_23_2019_06_06_1,7,hair,1,0,6,very_high,20436,06-05-2019,8:30
25,ERE_23_2019_06_16_3,8,pellets,1,0,55.7,unsure,20436,06-15-2019,14:00
26,ERE_23_2019_06_16_3,8,pellets,1,0,58.9,unsure,20436,06-15-2019,14:30
27,ERE_23_2019_06_16_3,8,pellets,1,0,70.8,unsure,20436,06-15-2019,13:00
28,ERE_28_2019_05_30_4,9,hair,1,0,5,high,15454,05-29-2019,14:00
29,ERE_28_2019_05_30_4,9,hair,1,0,7,high,15454,05-29-2019,14:30
30,ERE_28_2019_05_30_4,9,hair,1,0,8,high,15454,05-29-2019,13:30
31,ERE_28_2019_05_30_1,10,hair,1,1,4,high,15454,05-29-2019,17:00
32,ERE_28_2019_05_30_1,10,hair,1,1,7,high,15454,05-29-2019,16:30
33,ERE_28_2019_05_30_1,10,hair,1,1,8,high,15454,05-29-2019,16:00
34,ERE_28_2019_05_31_5,11,hair,1,0,1,very_high,15454,05-30-2019,17:00
35,ERE_28_2019_05_31_5,11,hair,1,0,2,very_high,15454,05-30-2019,16:30
36,ERE_28_2019_05_31_5,11,hair,1,0,2,very_high,15454,05-30-2019,18:00
37,ERE_15_2019_05_16_5,12,pellets,0,3,1.7,very_high,20428,05-15-2019,9:00
38,ERE_15_2019_05_16_5,12,pellets,0,3,2.4,very_high,20428,05-15-2019,10:30
39,ERE_15_2019_05_16_5,12,pellets,0,3,1.1,very_high,20428,05-15-2019,11:00
40,ERE_25_2019_07_06_1,13,pellets,1,2,3.9,very_high,15451,07-05-2019,12:00
41,ERE_25_2019_07_06_1,13,pellets,1,2,5.2,very_high,15451,07-05-2019,12:30
42,ERE_25_2019_07_06_1,13,pellets,1,2,5,very_high,15451,07-05-2019,14:00
43,ERE_19_2019_05_27_6,14,hair,1,1,2,very_high,20435,05-26-2019,8:30
44,ERE_19_2019_05_27_6,14,hair,1,1,2,very_high,20435,05-26-2019,9:00
45,ERE_19_2019_05_27_6,14,hair,1,1,3,very_high,20435,05-26-2019,7:30
46,ERE_19_2019_05_31_7,15,pellets,1,1,6,low,20435,05-30-2019,17:00
47,ERE_19_2019_05_31_7,15,pellets,1,1,8,low,20435,05-30-2019,12:00
48,ERE_19_2019_05_31_7,15,pellets,1,1,9,low,20435,05-30-2019,16:30
49,ERE_19_2019_06_02_1,16,pellets,1,0,10,high,20435,06-01-2019,10:00
50,ERE_19_2019_06_02_1,16,pellets,1,0,10,high,20435,06-01-2019,10:30
51,ERE_19_2019_06_02_1,16,pellets,1,0,36,high,20435,06-01-2019,9:30
52,ERE_19_2019_06_29_2,17,pellets,1,0,12,very_high,20435,06-28-2019,12:00
53,ERE_19_2019_06_29_2,17,pellets,1,0,3,very_high,20435,06-28-2019,9:30
54,ERE_19_2019_06_29_2,17,pellets,1,0,2.5,very_high,20435,06-28-2019,9:00
55,ERE_16_2019_05_30_6,18,hair,1,4,2,high,20425,05-29-2019,13:30
56,ERE_16_2019_05_30_6,18,hair,1,4,5.6,high,20425,05-29-2019,14:00
57,ERE_16_2019_05_30_6,18,hair,1,4,11.2,high,20425,05-29-2019,13:00
58,ERE_21_2019_06_06_7,19,hair,0,3,17,unsure,20431,06-06-2019,17:30
59,ERE_21_2019_06_06_7,19,hair,0,3,18,unsure,20431,06-06-2019,15:30
60,ERE_21_2019_06_06_7,19,hair,0,3,15,unsure,20431,06-06-2019,16:30
61,ERE_16_2019_06_06_5,20,hair,1,3,1.5,high,20425,06-06-2019,3:00
62,ERE_16_2019_06_06_5,20,hair,1,3,4,high,20425,06-06-2019,2:30
63,ERE_16_2019_06_06_5,20,hair,1,3,5,high,20425,06-06-2019,2:00
64,ERE_28_2019_05_27_1,21,pellets,0,0,3,very_high,15454,05-26-2019,16:00
65,ERE_28_2019_05_27_1,21,pellets,0,0,3,very_high,15454,05-26-2019,16:30
66,ERE_28_2019_05_27_1,21,pellets,0,0,2,very_high,15454,05-26-2019,15:30
67,ERE_16_2019_07_27_2,22,pellets,1,0,32,unsure,20425,07-27-2019,7:00
68,ERE_16_2019_07_27_2,22,pellets,1,0,35,unsure,20425,07-27-2019,8:30
69,ERE_16_2019_07_27_2,22,pellets,1,0,35,unsure,20425,07-27-2019,8:00
70,ERE_16_2019_05_30_6,23,pellets,1,4,2,high,20425,05-29-2019,13:30
71,ERE_16_2019_05_30_6,23,pellets,1,4,5.6,high,20425,05-29-2019,14:00
72,ERE_16_2019_05_30_6,23,pellets,1,4,11.2,high,20425,05-29-2019,13:00
73,ERE_32_2019_06_19_1,24,hair,0,2,9,very_high,19580,06-18-2019,11:30
74,ERE_32_2019_06_19_1,24,hair,0,2,15,very_high,19580,06-18-2019,12:00
75,ERE_32_2019_06_19_1,24,hair,0,2,15,very_high,19580,06-18-2019,13:00
76,ERE_16_2019_05_21_1,25,pellets,1,0,2.6,unsure,20425,05-21-2019,12:30
77,ERE_16_2019_05_21_1,25,pellets,1,0,6.5,unsure,20425,05-21-2019,10:30
78,ERE_16_2019_05_21_1,25,pellets,1,0,6.9,unsure,20425,05-21-2019,11:30
79,ERE_27_2019_06_20_1,26,pellets,1,0,5,high,15450,06-19-2019,16:30
80,ERE_27_2019_06_20_1,26,pellets,1,0,25,high,15450,06-19-2019,16:00
81,ERE_27_2019_06_20_1,26,pellets,1,0,26,high,15450,06-19-2019,19:00
82,ERE_27_2019_06_20_2,27,pellets,1,0,1,very_high,15450,06-19-2019,14:00
83,ERE_27_2019_06_20_2,27,pellets,1,0,2,very_high,15450,06-19-2019,14:30
84,ERE_27_2019_06_20_2,27,pellets,1,0,3,very_high,15450,06-19-2019,15:30
85,ERE_20_2019_06_01_1,28,pellets,1,1,1,high,20430,05-31-2019,15:30
86,ERE_20_2019_06_01_1,28,pellets,1,1,2,high,20430,05-31-2019,13:30
87,ERE_20_2019_06_01_1,28,pellets,1,1,3,high,20430,05-31-2019,13:00
88,ERE_21_2019_06_01_3,29,hair,1,1,1.5,high,20431,05-31-2019,16:00
89,ERE_21_2019_06_01_3,29,hair,1,1,4,high,20431,05-31-2019,16:30
90,ERE_21_2019_06_01_3,29,hair,1,1,9,high,20431,05-31-2019,15:30
91,ERE_19_2019_06_11_1,30,pellets,0,2,32,unsure,20435,06-11-2019,12:30
92,ERE_21_2019_06_14_2,31,pellets,1,0,14,high,20431,06-13-2019,22:00
93,ERE_21_2019_06_14_2,31,pellets,1,0,19,high,20431,06-13-2019,21:30
94,ERE_21_2019_06_14_2,31,pellets,1,0,18,high,20431,06-13-2019,22:30
95,ERE_21_2019_05_15_6,32,pellets,1,0,4,high,20431,05-14-2019,11:30
96,ERE_21_2019_05_15_6,32,pellets,1,0,11,high,20431,05-14-2019,12:00
97,ERE_21_2019_05_15_6,32,pellets,1,0,22,high,20431,05-14-2019,12:30
98,ERE_21_2019_06_03_1,33,pellets,1,1,8,high,20431,06-02-2019,15:00
99,ERE_21_2019_06_03_1,33,pellets,1,1,9,high,20431,06-02-2019,14:00
100,ERE_21_2019_06_03_1,33,pellets,1,1,10,high,20431,06-02-2019,13:30
101,ERE_28_2019_05_31_8,34,hair,0,0,1,high,15454,05-30-2019,8:30
102,ERE_28_2019_05_31_8,34,hair,0,0,2,high,15454,05-30-2019,8:00
103,ERE_28_2019_05_31_8,34,hair,0,0,3,high,15454,05-30-2019,7:30
104,ERE_15_2019_06_29_1,35,pellets,0,1,24.6,unsure,20428,06-28-2019,22:30
105,ERE_15_2019_06_29_1,35,pellets,0,1,25.8,unsure,20428,06-28-2019,23:00
106,ERE_19_2019_05_31_7,36,hair,0,1,6,low,20435,05-30-2019,17:00
107,ERE_19_2019_05_31_7,36,hair,0,1,8,low,20435,05-30-2019,12:00
108,ERE_19_2019_05_31_7,36,hair,0,1,9,low,20435,05-30-2019,16:30
109,ERE_29_2019_06_26_2,37,pellets,0,2,6.1,very_high,17136,06-25-2019,12:00
110,ERE_29_2019_06_26_2,37,pellets,0,2,7.1,very_high,17136,06-25-2019,11:30
111,ERE_29_2019_06_26_2,37,pellets,0,2,8.9,very_high,17136,06-25-2019,12:30
112,ERE_20_2019_06_01_2,38,pellets,0,1,6.8,very_high,20430,05-31-2019,14:30
113,ERE_20_2019_06_01_2,38,pellets,0,1,7.3,very_high,20430,05-31-2019,15:30
114,ERE_20_2019_06_01_2,38,pellets,0,1,11,very_high,20430,05-31-2019,13:30
115,ERE_15_2019_07_15_2,39,pellets,0,2,1.5,unsure,20428,07-14-2019,17:30
116,ERE_15_2019_07_15_2,39,pellets,0,2,3.7,unsure,20428,07-14-2019,17:00
117,ERE_15_2019_07_15_2,39,pellets,0,2,2.7,unsure,20428,07-14-2019,12:00
118,ERE_20_2019_06_21_3,40,pellets,0,0,25,very_high,20430,06-21-2019,1:00
119,ERE_20_2019_06_21_3,40,pellets,0,0,38,very_high,20430,06-21-2019,2:00
120,ERE_20_2019_06_21_3,40,pellets,0,0,58,very_high,20430,06-21-2019,3:00
121,ERE_27_2019_07_06_2,41,pellets,0,5,24.9,unsure,15450,07-05-2019,10:00
122,ERE_27_2019_07_06_2,41,pellets,0,5,31.2,unsure,15450,07-05-2019,9:00
123,ERE_27_2019_07_06_2,41,pellets,0,5,31.2,unsure,15450,07-05-2019,9:30
124,ERE_19_2019_05_27_6,42,pellets,0,1,2,very_high,20435,05-26-2019,8:30
125,ERE_19_2019_05_27_6,42,pellets,0,1,2,very_high,20435,05-26-2019,9:00
126,ERE_19_2019_05_27_6,42,pellets,0,1,3,very_high,20435,05-26-2019,7:30